rank,items,positions,layout,config_items_to_assign,config_positions_to_assign,config_items_assigned,config_positions_assigned,config_items_constrained,config_positions_constrained,objectives_used,weights_used,maximize_used,engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger,combined_score
21,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[U],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[U],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502719070,0.755726752,0.719857488,0.868901583,0.711801223
22,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[I],[S]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[I],[S]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502908831,0.754872590,0.717519225,0.868132124,0.710858193
23,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[L],[S]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[L],[S]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502886345,0.755225062,0.717701631,0.868066378,0.710969854
24,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[L],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[L],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502647376,0.756063573,0.719055412,0.868085673,0.711463009
25,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[L],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[L],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502859076,0.756081766,0.718783862,0.867852090,0.711394199
26,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[;],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[;],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502157137,0.756065606,0.719214072,0.868220160,0.711414244
27,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[;],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[R],[;],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502368804,0.756083799,0.718942335,0.867986417,0.711345339
28,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[U],[S],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[U],[S],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502515320,0.755260093,0.719914434,0.868499018,0.711547216
29,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[U],[L],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[U],[L],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502422431,0.755399000,0.719948839,0.868332196,0.711525616
30,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[L],[U],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[J],[A],[D],[K],[L],[U],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502498732,0.755415653,0.719920721,0.868184133,0.711504810
